hash,train_image_ids,train_labels,train_azimuths,test_image_ids,test_azimuths,azimuth_same,circular_azimuth_difference
0bb5b841c1a921d9732ca58829ba75c847833bd865d05ec87fa01add24522376,train_06667.png,0,289.84,eval_00293.png,48.35,False,118.51000000000002
0bdbf1bf99d6ddc4e78a4a1ed87057a5518199e2d95549841bb51ca64ddc85ec,train_02201.png,1,153.88,eval_00328.png,114.95,False,38.92999999999999
0c3168bf7d9dfb89c078942f0505d75c1d0769b8a5612539ec1e1b8b4bd76c43,train_05533.png,1,125.81,eval_01334.png,98.34,False,27.47
0c748c95a01fb4cad1fe4bd5172725eccf4c3763826028d4861c61d48748036a,train_04944.png,1,271.98,eval_01990.png,119.88,False,152.10000000000002
0c88b740357e54f32331ac7b91fec41a329d7f733b25ddf5ceb84d4d08439f97,train_00747.png,1,168.90,eval_00046.png,96.84,False,72.06
0ca006eaf12c7bd35509a9d68460a769b575abee084a94b9a3aa09266e6e9e66,train_03378.png,0,349.13,eval_01808.png,25.62,False,36.49000000000001
0d10482517c13080d612386d70cd30cf464d022c395091e0be18a08494650b23,train_03856.png,0,316.09,eval_01191.png,314.23,False,1.8599999999999568
0d59c1dba1950630c0e105eaaf634b42ae00e76df44b40c9d4e11b1953919eec,train_07288.png,1,313.22,eval_01139.png,150.73,False,162.49000000000004
0d75560efc6e1cb28bd58d973b0fe5d96c9ef5771ccd70d9dda77670a910dc0d,train_05586.png,0,305.68,eval_00184.png,342.39,False,36.70999999999998
0dd08be9e70d19bbda9dee017bd62eb34c4b9a5f4da8bee4ab3616207b6e855f,train_06778.png,0,334.75,eval_00813.png,294.28,False,40.47000000000003
0df7937e541d7c1f465e062d5843963d9775f2b4b340e91b2fbcd86f68fad514,train_03854.png,0,311.61,eval_00880.png,279.66,False,31.94999999999999
0e5d9d3faf5679d69566229cdee8669912ea6e6a7b867c14ada42ebd2bdb23e6,train_00667.png,1,258.94,eval_01551.png,147.89,False,111.05000000000001
0ebbe04380e81e2d40964fe2b35f30958384b034cd1f81c35b1a518d1b89691c,train_00572.png,1,190.22,eval_01157.png,115.95,False,74.27
0ee487d4c2d392c6e4d235a2e2f3bcd69bdb2c19317fde8355580b0a141c4212,train_00714.png,1,50.69,eval_00713.png,175.42,False,124.72999999999999
0f250236190505bb9467eb70ee82b0416f6879bae99f5075cc5f958e692fc44a,train_00926.png,1,240.39,eval_01508.png,170.75,False,69.63999999999999
0f74ee63b9bae6e5bb9fc6b18c928ac5dbd54a9bcd2312887b53294041d4f2a6,train_05176.png,0,358.56,eval_01056.png,4.74,False,6.180000000000007
101025db7a2ac0c5bfb69bd0cd8a428d885bdc47b724b0a9d361ed1f61350f73,train_04192.png,0,272.62,eval_01866.png,88.89,False,176.26999999999998
104a1ae7a576cd727984702452fb34d26ad0bdc09680fc63460e5c83a5bb3325,train_02430.png,1,79.64,eval_00512.png,161.91,False,82.27
10e6592b225ed9119455d4fe780e611f117ebf5b9bf48fa9b74768f17fc235da,train_00365.png,0,354.00,eval_00217.png,87.48,False,93.48000000000002
1108d104c2e0c36a120f8f7003561c6c70eec12cb4c02fc33d1e3be871ffb2f0,train_00877.png,1,44.14,eval_01436.png,165.47,False,121.33
1115ef75dbbfdd4fa43f495f6df05dac162fa61df62b7174fa9fcb2fb0a3af7b,train_05273.png,1,85.33,eval_00502.png,172.87,False,87.54
1124f7f76e7ef4f026c1db1dd10e376b20cc471507da989513a34de7eead9cb5,train_03617.png,0,276.04,eval_01327.png,308.15,False,32.10999999999996
113fb585be503acf3fc719ab936e0203d7da5ec0ddacfd797ac9446d24de2dd0,train_06316.png,1,274.22,eval_01702.png,160.81,False,113.41000000000003
11759caaa689072986b57fb6f8a95aeebfc602de6858435bb6a5de2a0dfc4aa7,train_01434.png,0,310.20,eval_01357.png,309.55,False,0.6499999999999773
11c46f7ed6bac08680661ed61c0bf96f5dfd493e1213d64b3b94ffed7f95f8cc,train_07443.png,1,214.53,eval_01137.png,114.75,False,99.78
12a64c253261daff9aaa4cfed48308bd44bb129c68d87d557b200652cd9f04a4,train_04048.png,1,163.77,eval_00500.png,155.80,False,7.969999999999999
12dccc72047ee9bd97dbb4003050c00ba354a77a9fda8f00906793e1786caae7,train_01314.png,1,225.88,eval_01188.png,147.97,False,77.91
131161ab12d30bee6dde0efc38207c54f350355d67756183fa940289a8cf5486,train_01281.png,0,319.92,eval_00848.png,23.12,False,63.19999999999999
132be2712857b01ed877f9fca41dd5fade48ab74287c1c2a36351a2081e6457d,train_04612.png,0,295.65,eval_01557.png,338.91,False,43.26000000000005
14cf6bc66cf4eb2b92178a1b12b82596aa5b4b37d64a83501f798409bc9d0b6b,train_05302.png,1,130.43,eval_00351.png,147.47,False,17.039999999999992
14d29e8318cc8b6ba0927af9e8b01dc4cef2e1a4d3ddc282ee9fdcfd6bb5deaf,train_02502.png,1,105.34,eval_00258.png,98.31,False,7.030000000000001
14d30cd5a86614a1a8a4d6a1da7318376474a7c02e120747ad00c8926b6b3c12,train_03776.png,1,192.14,eval_00449.png,176.79,False,15.349999999999994
14d53bb9ef4e6bb988f5f5674a260db96672410979dde2996e53aa0471c6ab56,train_05335.png,1,260.03,eval_00130.png,179.12,False,80.90999999999997
14efb2fbe7cc46b469fc01fee0e8c23f1c2925176818cbcd2242333623555020,train_05261.png,0,309.96,eval_00792.png,261.53,False,48.43000000000001
152f9b949a93cdb631fea4075fca89645d35bb5bc3d05a29264042967d0784fc,train_06508.png,1,147.36,eval_01576.png,128.43,False,18.930000000000007
15339ae7b6acd85b066cd4092718e20df9647df6afb4263839706a5b1f27b666,train_05846.png,1,166.99,eval_00511.png,140.95,False,26.04000000000002
15e9a5977c8c1535b935ed62ab0b87ebcdcbe9c8e17a6fa463f69da84950a15a,train_01043.png,1,313.52,eval_01666.png,153.94,False,159.57999999999998
169589c15488873114631299414befb84e41ae0f7b7fb36a0bbbec219a370a2e,train_02457.png,0,334.00,eval_01265.png,76.18,False,102.18
16a03942e7fea076d8a34287f87d75b13079f5b8efaddc75a8669195f0189044,train_04200.png,1,264.21,eval_00457.png,118.79,False,145.41999999999996
16d579e26955ad308aba9f352cec8dcb891455102fb8bcf8a75bd601b3e2ffb5,train_07564.png,1,147.24,eval_01805.png,137.56,False,9.680000000000007
170bc5a3375caa1012fdecd29244bac19e61a5fbe0e4490946b863743c9e4418,train_01630.png,1,349.60,eval_00364.png,158.84,False,169.23999999999998
171d39eaf8f1c3ee4593df62c106fe1fc3a993f410ca210a50a1325ee87c81db,train_04705.png,0,320.40,eval_00141.png,0.34,False,39.94
172dd944867be0dbf1c70bc9e3b33a922b25e7a53b1d33e58ffccbfffc7181dd,train_06004.png,0,296.16,eval_00625.png,239.42,False,56.74000000000004
175e1bb74fdb9de4f71383c32e64eac46599635b3372816057e44babb8c0b0ac,train_00366.png,1,177.88,eval_00592.png,163.98,False,13.900000000000006
17979d259842579df1adb3439d523b527ff04d6ec989b3d0f6cc4c317e275532,train_00973.png,1,224.13,eval_00362.png,100.81,False,123.32
17a978d29090aa73e3adffe7419c3425c4f9409f98edefcb3bf0b9a22ed313f7,train_07698.png,1,174.01,eval_01167.png,113.63,False,60.379999999999995
17cf06218bbadafcd68059945fd0a353fc5d715813b308051a114ecb186a8ac2,train_07064.png,0,333.09,eval_00369.png,330.11,False,2.9799999999999613
17e7e5d9eb17e4cf142a0af999b0ef53218e2fd2dc4923be035e6af8c2d633af,train_03131.png,0,318.99,eval_00379.png,101.17,False,142.18
187b2089eb4f5a04985e90c5849a39d04bcb1b51889b2d48a1a1e47e8271d62a,train_02779.png,1,10.97,eval_01732.png,167.58,False,156.61
18fff72662ac5617b35ceaed09f299e9f2c8b3695719aa1166c7306522d353e1,train_00792.png,0,298.89,eval_01304.png,353.98,False,55.09000000000003
194a9f702b1365e8a8c9fb5db3c644572d3779f8595072b239b0fedd4d031fc1,train_04441.png,0,273.23,eval_00668.png,355.92,False,82.69
19f0a52797d20db4791238e2885b08ac03ed90a27afa4494138846e72fe13ebd,train_03196.png,0,350.89,eval_00320.png,30.48,False,39.59000000000003
19f0bf27d56d30bcaeb6fc18b3d272ebdfdcbbcc6d025aa441ae13ec32379062,train_05569.png,0,353.77,eval_01306.png,4.58,False,10.810000000000002
1a1da1c9329c9623410337726caf7ff8320bfad6dbfa6f61e9af653e622f6403,train_01082.png,0,271.75,eval_01915.png,131.12,False,140.63
1a3b540a8a9155914735e6a66e6debb519b697c157b03f8747a4356f669bf5f6,train_04228.png,0,319.52,eval_01863.png,151.09,False,168.42999999999998
1aad116de26e2ea72e3c7a627b91dd4144eba56f2497f99d59b27c3ce6173b77,train_01939.png,1,331.06,eval_00060.png,165.34,False,165.72
1ac0e949be44a349aed7a6dfc02d2ea0044759268dbcffb39fd52fb68ff7ad11,train_02475.png,1,109.51,eval_00526.png,123.82,False,14.309999999999988
1ac14bf58be49f7757fc6b7c80775deb3e0c96ffd6255aff9b9860655b3802cf,train_06703.png,1,285.67,eval_01674.png,102.69,False,177.01999999999998
1ad62d070c3a1ef2d190754c3ef4f80f46c994eea4967a6b3dc6fd3a984e151b,train_00154.png,1,195.37,eval_00286.png,145.63,False,49.74000000000001
1b685074298fe1528eaaa6eb2f2d7ab283186c1b7f3665a8ebe4582d5b432d67,train_05854.png,1,73.60,eval_00439.png,95.42,False,21.820000000000007
1c172020b178b7f4a0d630304a18532cffffb20cd7e59497d4ca742867c887fd,train_03187.png,1,56.44,eval_00365.png,147.95,False,91.50999999999999
1c231640e0122028f4cd7895a8db4a455a256a5db24ccefe8e53da82c595fcf1,train_04296.png,1,36.08,eval_00561.png,160.99,False,124.91000000000001
1c6128ed2d7370845fac6e68b14d4b1a3abf63c8afcfbfccfcf36c9f1b95694a,train_01782.png,0,155.68,eval_01493.png,13.40,False,142.28
1cc829029d89b6d1d453c3d3ddaea4fae4696ca8d1198b9882d4af61f52cb560,train_00562.png,0,321.32,eval_01369.png,268.71,False,52.610000000000014
1cd4c3c011379bf0bbf73e1c463d6817428a940995e5fb88767f0b8b41ab3206,train_02846.png,1,233.90,eval_00192.png,93.25,False,140.65
1d5c44764ba3ff19db32f6fd57bbcf5d7dfb760f61f6ab8cb8bf41cee237d1d1,train_01390.png,1,305.00,eval_01285.png,124.37,False,179.37
1d8ae1078954ab0bc740262fb6e5fdab0b26cd3acfa6ac7364ca74fad81431d2,train_02362.png,1,349.79,eval_00795.png,145.69,False,155.89999999999998
1daeafc61f29b6f24e5df8280a3807f16a8987cecdb8f4b9f75af99309d37a85,train_04730.png,1,75.94,eval_00894.png,115.54,False,39.60000000000001
1db73bec4909086ff8b9efa65cf6d58ab31df734a4afeb7303bb27feaa370373,train_05590.png,0,274.90,eval_01400.png,272.71,False,2.1899999999999977
1e77c94ad659421bf67f909e0fc6d6b78b17bb8de89400ffdae9915098d68a7e,train_03232.png,0,26.02,eval_00406.png,27.22,False,1.1999999999999993
1e9912180f5b7e3c1b15a84198510ed21a15f0faad275a30c1d892e17ea9d61d,train_05786.png,0,286.13,eval_00425.png,249.34,False,36.78999999999999
1f2ddf46d9cb57d14ad09f79311443199c34d4cff073834f7ad606474897c1ef,train_03199.png,0,313.66,eval_01600.png,306.52,False,7.140000000000043
1f88c0289a6691f37b4a02fb8d0c77359c7746ebd54646a5458d41b1a18d6174,train_02446.png,1,344.38,eval_01747.png,173.26,False,171.12
1f8cc9d1cae2af6e6dfa07bd940b0e14674dd78f88fb4ddb02eceebe82965fef,train_02649.png,0,335.50,eval_01690.png,225.32,False,110.18
1f9ed85bdedd5ec402f843214413c5cc0eee1c770fbb77860e1b980c9f51c969,train_06729.png,1,322.49,eval_00463.png,134.37,False,171.88
202bf5fcd0b879fd8cb7fe1544fa841ccb1f3a6b7ae8fa2e6ebe684c3b5885eb,train_02293.png,1,193.71,eval_01318.png,98.66,False,95.05000000000001
2069beac4941989dd3721019abf728d79c56e083412db19f56b6d09c9fc847a1,train_03662.png,1,188.02,eval_01899.png,133.38,False,54.640000000000015
2072975c1c61ae22bbc311b53ea2183176d8ba98958b6d9e4fb0a22d322ad37e,train_02218.png,0,312.65,eval_01147.png,25.63,False,72.98000000000002
2080608af7fb4041e8966ff8bd499c187b50e3555342d4f0fbe28a641bf10a2a,train_07554.png,1,168.63,eval_01233.png,134.94,False,33.69
21aacaf07f90160809cd58c82f1ab195d5251b3e17627300a5d0991597761abd,train_04930.png,1,75.00,eval_01490.png,163.18,False,88.18
21f64fb3e4a757f81b44b435c7bde385d25da8b2408c78f60b91f66b7eaf9779,train_06172.png,1,343.41,eval_00447.png,113.40,False,129.98999999999998
22837e1dc426546f6ec06bb9e8e395797d38aad40d14be94ad63fe3b892724bc,train_03900.png,1,332.91,eval_00487.png,163.61,False,169.3
22fd9c15961e27a6d955f886b821e031234d5931a291cab8f8a31ce4a1280c6d,train_07625.png,1,159.98,eval_01146.png,105.53,False,54.44999999999999
2333952f01154dfda3074cbb1b75fd3c8f6dbbe49eaeebf831e701da1f0f3545,train_05330.png,0,331.47,eval_01143.png,140.50,False,169.02999999999997
234c67ac1111ca2e6ca32bc4c957ad893d933b49fb9e1555d8b44ed0dceeb130,train_06835.png,1,7.55,eval_01584.png,142.65,False,135.1
2386c0d5e2afc83c2862a5d5bb739017fd55915d9bad935a0737f51221b8b09a,train_00581.png,0,351.03,eval_00064.png,57.94,False,66.91000000000003
2390e5b4518f545f74e006df398cb96a210b97ca7bc2ad0e30c1ebc0ff7b1cbe,train_05016.png,1,359.39,eval_01120.png,134.44,False,135.05
23946217c6099c82a6768adf5ad0ae8cdbb61cc4566e6c2f9ef0a3406e808fa1,train_07764.png,1,140.98,eval_01953.png,137.90,False,3.079999999999984
23bc9a83677eb6fb2015dfb33674ab97c42ff32858996b0ee5820ea8bf7fe81d,train_04653.png,1,112.56,eval_00709.png,162.64,False,50.079999999999984
241f3dfcbb9809e3fdbef81a95b6a2a1baf789bc842d9b6677c05b976f8a212b,train_02661.png,0,337.67,eval_01676.png,223.61,False,114.06
246a632bdac5b823ca44a041dbd90bbba74313e0a0e16a639f7690f5f6044cdb,train_03930.png,0,277.00,eval_00372.png,345.50,False,68.5
2480a8df89754ced9fe56f770eec0a9b369fae2e74496644dc96e4ab6d5fee10,train_02670.png,1,106.96,eval_00488.png,119.51,False,12.550000000000011
24ab600adbbedfe979d31094a763494ecf52628a295767737e1e1fcc986b448b,train_00444.png,0,279.22,eval_01036.png,128.45,False,150.77000000000004
24e27d890dfa043504fe0e924fcf91b43a3b5a7b3fad6ab1552e5a0d794cf8aa,train_05079.png,1,7.29,eval_00102.png,153.16,False,145.87
2539320d07aa4fecca2241de58bbc85cdebb5acb687f98f7555ba4a5ba5f2dfe,train_00711.png,0,338.72,eval_01472.png,117.35,False,138.62999999999997
25435eb289ae031569621a33ade3023ca3fee3e066c4e083139a5f86ae7c63cb,train_05489.png,1,40.91,eval_00503.png,93.91,False,53.0
25c1860a1a32ce63080f250cd3e13e8e200433a580e9ca3a92cd662839babb65,train_03517.png,1,231.78,eval_00363.png,157.42,False,74.36000000000001
2704671df7166ac316ed640f4a79060936c5aee777145c2cba38e8935da8ddc5,train_06351.png,1,164.80,eval_01345.png,128.82,False,35.98000000000002
2748e05f9d6081f7bc0271a8d3bd9c7f8c355730848c8796142b671fb3ee3dd9,train_02289.png,1,104.17,eval_01520.png,139.22,False,35.05
275d31847c36f1224c2592177c81055eacf06dfb089875c17b0d144c4adf8435,train_02762.png,1,226.83,eval_00142.png,121.67,False,105.16000000000001
27852ef94f4482d5ea3ad47568e477d7caf33eccf5d95d906481fa8b8c1e4e14,train_01659.png,0,312.06,eval_01858.png,79.94,False,127.88
2796662e242a849d73c4046ec0e7c54a638006bba98f1db898b4ae4d532e92c2,train_00547.png,1,287.26,eval_00726.png,169.79,False,117.47
27c0dbff0121b3dd65b0d4aed04cd3bddd8932ebc42133f774c50c0f062e9532,train_02507.png,0,346.11,eval_00966.png,125.53,False,139.42
27e0b1d8658b27cd2bea75cda2adfb3d360638f252c76be44659bd998d605562,train_06617.png,1,78.29,eval_00959.png,143.65,False,65.36
27f40921d61e9b86f1b41ceccda34ef1e3e5dac01143be57a7fe671375791072,train_06532.png,0,295.41,eval_01151.png,141.03,False,154.38000000000002
2861fc8ebe5a1a33e18b10b739544dd853ced72f5aaab9a2638cf095e522af74,train_05901.png,0,297.67,eval_01796.png,40.39,False,102.71999999999997
28c3de2461996a3f31b6c7e0d86164e41871df3259f598090f123f76b2999b3b,train_04173.png,0,339.86,eval_01287.png,72.89,False,93.02999999999997
28c4bd81e0bdebdc70cef9ef042f6ce51776bb93bcedd5b1bd8a67c6520218e7,train_05326.png,0,298.05,eval_00573.png,78.57,False,140.51999999999998
28eb8f1ce28de0d473e1240975d442105755e74ccc0b55d81ce55e03a4ff6493,train_05627.png,1,89.53,eval_00238.png,157.32,False,67.78999999999999
293f186726d114b82786404b0fc90cb729a6981a369b71a2f928fa5ad59c5955,train_03589.png,1,294.31,eval_01236.png,167.47,False,126.84
29a3f83dca6c1378150354367af9ae5e68efe488707766aeea5660bb12f9b586,train_02559.png,1,167.71,eval_01422.png,109.16,False,58.55000000000001
29a45eb780707802d64beb273f3c82c59b21fab20a8eca26bfc75f35565f9170,train_01256.png,0,340.70,eval_00304.png,188.35,False,152.35
29b64a82518cf7704f8ea5a6b6b0ae6c7ae592ca6ad94ded9bc1047043c79006,train_04812.png,0,296.19,eval_00346.png,264.36,False,31.829999999999984
29d3dde99641e99afea70ae28db062dcac2761895cdb9c6092b29b51738b02c9,train_03455.png,0,314.19,eval_00452.png,212.14,False,102.05000000000001
2a0d15754ee88fc335bad6fa79e9e8e1959c9cb3391bbe8c1e408f15c1bd58c2,train_05902.png,1,176.86,eval_00552.png,158.24,False,18.620000000000005
2aabe3d31dd360fe30ee259c3d618dc401039e924f7f82b608685cb2a84c273d,train_05843.png,1,96.96,eval_00277.png,124.91,False,27.950000000000003
2b359441518a1158da060f4c90dd85da642c4ea15e0f31e3c035aef240339f39,train_00938.png,0,335.72,eval_01277.png,162.91,False,172.81000000000003
2b627511d0b812279fc168e5824ff03d201d6befcc8c242b849e3dd5013a572f,train_03489.png,1,280.92,eval_00635.png,159.38,False,121.54000000000002
2b7d654aa9722bb759c86facd36c93df523358f3ae98efe4230a8e6747da52eb,train_07138.png,1,268.87,eval_00877.png,102.81,False,166.06
2ba1dbdf2f9db191db2faea0b2e32649e933848053c008d58c44a66680d36b0c,train_03156.png,0,318.24,eval_01867.png,334.34,False,16.099999999999966
2bc954810966a498d3438795d84a7b0269384b1fe610bbcccf709d640c41d435,train_03938.png,0,328.00,eval_01775.png,167.97,False,160.03
2bf66f53a8c04924ebd3a9bfb739a33c52a21402aee1fcb4156b2d0b577107f3,train_00607.png,1,254.41,eval_00446.png,138.98,False,115.43
2c056c74a1cf78970edc788921b225cb837efa98447449d753521da3009348e3,train_06088.png,0,329.25,eval_00983.png,359.62,False,30.370000000000005
2c13604e4c75387d4b080d45853f133c7847da3d7a9a7b8b0ea6dd7c643de59c,train_06693.png,0,298.58,eval_01112.png,38.58,False,100.0
2c6c5380ee6eb3cfe37a938ab04b7ec86545990ffba995e15793ef30c241a0be,train_02378.png,0,283.84,eval_01104.png,304.69,False,20.850000000000023
2cbe473889d3d580525c386d52bc1cc1baee81ca57d90d2c6dfcb41882c87ffa,train_02079.png,1,254.17,eval_01663.png,104.10,False,150.07
2d153a949682f483f34deaf6bb17aeb85fc5c1a6a2b9ac5159c3d12f37bfe162,train_05061.png,0,343.01,eval_01239.png,359.35,False,16.340000000000032
2d178b10b362d72c3fb4b05fb911ed2a6428118fd7139879e0524984b535ff6f,train_06069.png,1,91.71,eval_01022.png,150.94,False,59.230000000000004
2d3e77de2c9eb36c13b83b89d86f7b0136ab3b709b90c6ac9055263d3fdcf131,train_05532.png,0,279.31,eval_01254.png,8.64,False,89.32999999999998
2d435630f4a3fc5f4cbe549e33c1920466c56961387c4813efd344074e4ccc66,train_00060.png,1,324.35,eval_01852.png,162.30,False,162.05
2dff6238ea4152d9eac6c50eb395988be4b891b06348c1d8b23676e40b12d680,train_01714.png,1,206.70,eval_00177.png,113.86,False,92.83999999999999
2e04d29d3fa9fc9ede0c369c6332017bf12c19cf7d347c707b9317f7032dc379,train_01854.png,0,40.98,eval_00343.png,315.12,False,85.86000000000001
2e3a9ae40630676ddb148751839af379f3d4fbe67085b72d42109c58e7399f5d,train_04735.png,1,61.81,eval_00850.png,134.86,False,73.05000000000001
2e5ccbd6614379dc7e75a4dc70a5b2cd745e68632baf4d6db84e099b89594c47,train_00546.png,0,305.80,eval_01854.png,313.01,False,7.2099999999999795
2e8f8cfeda7d3fbbeb75422ff64a561a8f6abb36be7f9220f137c6a53184967d,train_05092.png,0,296.06,eval_00428.png,117.43,False,178.63
2eca534248e9703a61d91c41bc52fd8da5d4a211a7ff7c328b656e6251059eca,train_04378.png,1,254.95,eval_00852.png,137.20,False,117.75
2edffd50aa8f3efc2f31f718a068cb7666457e98d51166f547d13cb1a9377c43,train_06448.png,1,134.39,eval_01855.png,96.26,False,38.12999999999998
2f2e591955387d06c44d8d66e58e82982797cbdbe6a0991ccd5810ee03842361,train_07735.png,1,185.45,eval_00186.png,136.21,False,49.23999999999998
2f814770ece01208834b373386f6d1d1ce92dcea6b8389e266a46869e6e21a78,train_03767.png,1,358.22,eval_01083.png,145.48,False,147.25999999999996
2f8a378967e9ee19663e31b5a1d3631e693071bba2fdce2d7d1b58800d325850,train_04756.png,0,287.54,eval_01211.png,286.92,False,0.6200000000000045
2fa090ad36119568cbbfc000ae61cc3e645dad07fc5599aeb076cf227ad3a016,train_06673.png,0,299.98,eval_00376.png,3.45,False,63.46999999999997
2fe9d71e7c0318527a3d716a304f4c4ce0308bde04639b2d20fdb53c9fba15cc,train_04796.png,0,298.67,eval_01922.png,261.11,False,37.56
300626d1bdc02f82301229894e69927fc523e06430ae0bfcf0a39f7d4becd424,train_04970.png,0,281.99,eval_01780.png,285.97,False,3.980000000000018
304e41e476118bd3769f3bdaac2baec2b06210c42f39d18b04a84535fbd7f7d9,train_06001.png,0,75.71,eval_00770.png,12.51,False,63.199999999999996
30f0072cfb00f66a5873479ae00887af6d3da517d3afeba696b3969b9370d94a,train_07134.png,1,79.11,eval_00716.png,107.93,False,28.820000000000007
310567dd407741f9f9fd38ac38f6174d7ffa1f4f6797fb61904443fa6e5ed0ed,train_03556.png,1,131.42,eval_00127.png,142.91,False,11.490000000000009
314057e4dbb13d2bdd20c1f826dd440905a3a95a80ac7d357276ccd6cf5ab53c,train_00350.png,0,310.37,eval_00229.png,28.76,False,78.38999999999999
319bf2a964ba76d8dee42b39b08cd7d29273ea870f6f679cde78d5708e8d91be,train_07369.png,1,41.60,eval_00929.png,165.79,False,124.19
31a1b784f423f7e6b36a5c8c33cec89a76975e9f152a3ec585652b2564e6cda1,train_05436.png,0,342.27,eval_01740.png,141.46,False,159.19000000000003
