hash,image_ids,labels,azimuths,num_images
0883835bdc1948036f2f7fe415f408b388aa1cd830563a1090e56c1cb47936c7,train_04802.png; train_06538.png,0; 1,108.44; 50.41,2
08a1e54f8f21f484c5dde3261706b29219b1b8a83854098d8e47fd0b174cab75,train_07319.png; train_07655.png,1; 0,201.59; 329.91,2
096da76a4f776be701e935bb874cfd36484f8a560a99120f1c74d551ca012fc2,train_01745.png; train_04900.png,0; 1,305.03; 296.36,2
09a231c18757f0cb2c5077f0891701ea5e557b3528609cac6535411ad30652fd,train_06795.png; train_06813.png,1; 0,266.34; 308.86,2
09d59b6d77d73e0c16ae10034a05d242b171b31d4f5455a7a9dd8a4161f106cf,train_03728.png; train_07798.png,1; 0,204.18; 333.76,2
09dcf7826ef35de09a508bcb054933d545279e0c71f515f96d4e7bc675ae7a88,train_01804.png; train_07200.png,0; 1,327.32; 103.66,2
09f043831fe8ca932a0084038ff0145e5210ebaccc3ec291643d00fe59940dee,train_01767.png; train_07072.png,0; 1,55.03; 231.04,2
0a0209cdc46be733c2ee918bc5e80d7dc5b4af8341368310c911f102803972a4,train_03271.png; train_04325.png,1; 0,272.52; 349.75,2
0a0534b446e6c646b3ca2789e85d3334327c8c95620b9c70c309691d01a50881,train_01313.png; train_07372.png,1; 0,158.81; 139.67,2
0a808d2ce6ea2eae84719010e953a158879521bcf2af07a2c0e1228d6198d83f,train_05894.png; train_06205.png,0; 1,31.82; 316.20,2
0a9257913dfbfb9f5bdad6a02e12bf16db1e897760fdf9be55aea183ace12d15,train_02816.png; train_04049.png,0; 1,287.44; 115.09,2
0a989dbe91e187a84ee312d21ad6036a5cb37c144dbba4cc731d3fb830cc72c7,train_03167.png; train_03719.png,0; 1,358.43; 9.37,2
0aadfaac2858dd2ee9d6fd21c1116972e52854bac0c0575c424a6ae55d6a8651,train_00207.png; train_02492.png,0; 1,179.63; 38.52,2
0afd541cd451d9107e098519aa885791fc08d7cfde91d37a4e4c9ce23d93143e,train_00170.png; train_04515.png,0; 1,327.23; 177.92,2
0b570b0855ff45b3d91661032933a3f53ef96f7a0e3929ffc6f4bd3b6d388ca3,train_04402.png; train_05245.png,0; 1,274.93; 100.80,2
0b64c7518b5aaaa16f2bbfce06817733c05bd06f67586d100bad21696c5681d7,train_05372.png; train_07335.png,0; 1,277.53; 162.39,2
0b6f56825c7fb324855f3951bc287b884daaba5eaabbfd5e214c9eae98c4b1b7,train_01369.png; train_06625.png,1; 0,245.45; 344.92,2
0b9ad7b28047a6589978b1103a57accd6cbaaf52e22c92b7f746e7ec02a46e87,train_00156.png; train_04832.png,0; 1,305.45; 20.17,2
0c1483a4beb636f264ea93e556c75056a0d799bcb47e900594127b0885df1b65,train_06153.png; train_07547.png,1; 0,17.05; 312.14,2
0c3f340b022eb207dbd4493c00927bc44bc0f2729d16dc6b5a711a3095212ecd,train_00990.png; train_01779.png,0; 1,328.24; 69.90,2
0c40a466539e7fb2db40a3311e76afdaa46fa791d7ccf0dd2ba3a10935794863,train_03666.png; train_07613.png,0; 1,329.45; 284.35,2
0c959de5e2d3cdaf42ebcbedc159f4821be7e04488f8b3542736022964b66dcb,train_00996.png; train_06993.png,0; 1,292.64; 129.27,2
0d49c7578a3f71710b54e90e2db7dc51eceec1f4e671519c96155c9626b5cd5b,train_01764.png; train_06303.png,1; 0,285.56; 326.20,2
0d89c5b8e7f00ff1fc681fbf8624e8a69f7a982faa59a0903cbe223a31693f51,train_00050.png; train_01017.png,0; 1,123.83; 219.41,2
0d8aa5f0fdf88b218ae56bb6c45c758b23074ed9e0b33626d2068328ffb5ed12,train_04063.png; train_04458.png,0; 1,358.42; 212.40,2
0dc60cc1c5eeddec8ff7537e58bac3e904bbf6e0599abf6f91300aaa08b9890a,train_00904.png; train_07016.png,1; 0,244.62; 354.24,2
0e2d2e78a3951c28e2f9a5eecb7c4fcc669fe0d78960a5c72d8613dee2f91f0b,train_01806.png; train_02663.png,0; 1,312.88; 26.94,2
0e48eecd1608b32543d4fd9ecb02241e3726c26d85394904ad9de9eec7f33ce3,train_01271.png; train_02855.png,0; 1,325.43; 293.12,2
0e8e2aabe0f1c78d1966bf875d5e7541882dd35d2519b29f610d849ce4373b7a,train_00929.png; train_05796.png,1; 0,95.37; 291.17,2
0ea40950140fd45b6731716c823ef145f79520b7edf2331be1a096fc8ef41353,train_02193.png; train_03538.png,0; 1,327.88; 161.12,2
0f0d9b52ffa73eb80b363ed6ea66b1cf62b85273ba37cd8b6bfeb8b279466fd4,train_02706.png; train_03036.png,1; 0,18.60; 350.31,2
0f6ef791ba18301ebcb17d097fe24ead64febf94f0176cd012d1a07c18ff72ea,train_00448.png; train_04614.png,0; 1,209.67; 236.24,2
0fb0aaa86500a6592247ae6808923f8a03e773533f6ab4a41f8e5b7ba7a1f90a,train_03169.png; train_06682.png,1; 0,307.97; 291.43,2
0fcc76da05c48d02675408811becb328bef3bb2dc9d906061321e5af14cb5bd7,train_03895.png; train_05106.png,0; 1,347.63; 72.00,2
0fedbc6a9f2924796ea163151192f89fb30d2389b68b576442540ea98a2ec07b,train_04157.png; train_05793.png,0; 1,303.18; 256.54,2
104259b1815d555ce6d53b323eed5264afc114ae97853e83fe57752de5db2a79,train_02542.png; train_04544.png,1; 0,318.30; 351.98,2
109cac752788ced0a018b973429a50b5a1eeb9b192bfdb14f0b26da892a2460f,train_02962.png; train_07848.png,0; 1,281.48; 131.00,2
10bb3c228331aafbba888c64223c5c437ce2086602776a72307837ef8db14dbf,train_05764.png; train_05782.png,0; 1,284.02; 162.48,2
112c732b9b8208ab45889d784b6f6f5b0b87ab2af4a353c9f9b0d1c65b45769b,train_01212.png; train_01274.png,1; 0,146.28; 355.17,2
1131880f06fbc9e28a89fecdbd506dbbc25e6bcba5acec665a51c28f40b1d25b,train_01325.png; train_07509.png,0; 1,359.01; 310.42,2
11a1e10eb8b978464d354518d602212b6398aa189e3538d901024d6a6a03e197,train_01175.png; train_03035.png,1; 0,48.40; 339.38,2
11a5d7ee2be614e7a635b19ba4cceba8bba9d64e7fad5e177b32ab5e7987df53,train_00849.png; train_07310.png,1; 0,34.18; 197.95,2
11eb9a859d482e5c154076bdada39e9468cdc5693ae112a4457aef87b5f5c862,train_05122.png; train_07478.png,0; 1,334.45; 178.02,2
11eec725b07f59ed8da2c6a1cb2ae0fe625f17af61cc8ac03f4ac0cf459c6bc4,train_00235.png; train_06989.png,0; 1,309.00; 37.28,2
11f24571bb99333ac2c466035847d63af80012f39497d6eef27e020cfaf60cea,train_06133.png; train_06517.png,1; 0,238.61; 95.80,2
11fbfedd0abccb35844540da0dc2b148b1e0c22531c95b71a194c3994d65e697,train_01363.png; train_01615.png,0; 1,316.17; 22.41,2
1258129f7f56f81d8f7937518d10a7b80c75cc3ceb253d8886028b253caa8b19,train_01222.png; train_01691.png,0; 1,311.24; 197.32,2
12832cae033ad0b7aa0e94b8466397963e64c4369634baa525cc0cf446f77b28,train_04868.png; train_06690.png,0; 1,288.95; 345.16,2
12c4d6648d6cfffc8fc87e22b745f0c804b8c9431fa3bc44e7a56ee21fc50486,train_01127.png; train_04118.png,1; 0,35.90; 26.73,2
12db8fd47907b9f1ccd074c6543cc68b231e6ad8cb03b8d26d995883866e25b7,train_01543.png; train_03117.png,0; 1,333.50; 77.01,2
12ee54cef06666d1dd191e254bffdaca72e4df40e9ec3c59e1cb4054b9deb65c,train_04400.png; train_05970.png,1; 0,294.29; 271.74,2
13069dfd4c92a58ef62efde3a2d51a07b57f587a595767bd3e88a28d588812ec,train_00330.png; train_06996.png,0; 1,286.24; 287.30,2
136760c2020b0adf71393d0a503f77cb44b6deef923b59edea0005badcae0c8a,train_03549.png; train_07412.png,0; 1,306.51; 352.59,2
1449facef698506e1292082a6ef0e53cb18eef1cff4c3d964eb326ef74a27742,train_03031.png; train_05283.png,0; 1,335.72; 176.98,2
14758257a311344554f3e9eac8f1c4a152270a888e0a00d86863402941acf901,train_04734.png; train_06444.png,0; 1,280.99; 9.95,2
14830e247b4f61d0c47a9d61b24cc654eede9ad71f48e779de5d94165453c29a,train_03677.png; train_06104.png,0; 1,345.51; 359.97,2
14baef3eb0dfe7280d75d9ad69b716ff2c3962e986a2aaf1de58c1eef00567dc,train_04329.png; train_05340.png,1; 0,111.34; 321.31,2
14bc077a175b504c26390ce611875a74956e3a94976c50c65d31fa1f5289d091,train_05052.png; train_05289.png,1; 0,92.55; 297.19,2
14d7db0fdde2069325b03bb2d0583bb8d140a316d795c6726a071baccf161cf2,train_01717.png; train_03046.png,0; 1,327.44; 206.52,2
151479f343cac8d43a168fd9ffc3c5b028c498f71fda90c5a3cb44ce90f40e31,train_01734.png; train_03990.png,0; 1,335.53; 61.75,2
1519f3ba56132848eec0e6de63bf99f97864a49ae1900a87ad89be0c8c6bf44e,train_05897.png; train_05904.png,1; 0,11.07; 351.37,2
1522bdb59f4c04ef54f98c8f37da4089bf08e6f6f113976748048ac1c082a983,train_06598.png; train_07248.png,1; 0,327.87; 354.48,2
15335a3b1fa97a0f4674bffa5fd0f5e67c18108eca027b4b684a6dd88f6738d5,train_05859.png; train_07133.png,0; 1,250.57; 109.48,2
153941c4d2a89d322bdaff38d2cc097aa575ccafc72ba11c6e601b965db39df4,train_00474.png; train_02377.png,0; 1,328.69; 280.88,2
153c5c5c94fbd22780b0db666f4d34b1286d751cba367ec374ff776ceaa7f2c5,train_03805.png; train_07130.png,0; 1,310.84; 89.09,2
159288761e69c14a5ab2ea85ab7136a2d87c3313c14b1910774bf781a22f155c,train_05327.png; train_07085.png,0; 1,259.52; 322.56,2
15b099430e72262f139bce29b4c03300c5e7933a9eedfc06a7d68b8bcf49d161,train_02237.png; train_05119.png,0; 1,280.63; 88.98,2
15de4ce6df33882701b7414bd9147cd8f6d7b9aaac2bdd3a2aa0fb7d07d2c8da,train_05534.png; train_06215.png,0; 1,327.31; 150.82,2
15f7731da6e08ad86214e5bc65c1819038b4bde0733c8da99c1f4c8673d8a2c2,train_02196.png; train_07239.png,0; 1,195.37; 58.52,2
16062bd7885a1ae2ae69925e439cced96b4b6a89ce523cd136cf027fd73c0f5d,train_02402.png; train_05138.png,1; 0,259.97; 292.98,2
16321997048c9801399178ca3e713d393ca56ab21c03553f4fb1b226bd9328ff,train_04901.png; train_07389.png,1; 0,8.04; 295.86,2
1658d1f1e9bfda37219653c96c17ff0568810582d6d5ebc39d7d9fc4911ce99b,train_01370.png; train_02190.png,1; 0,357.86; 276.07,2
16c676378d596076efc319e3b89b60df0bcb7bc539d30b1ac8f4fdd362fa7b35,train_01113.png; train_04136.png,1; 0,241.75; 329.74,2
16f62e4dceff59a3d86488673e6f788232429041b12bb0c9933d1a1ffe677795,train_06020.png; train_06254.png,0; 1,302.92; 312.91,2
17126d6be32d6282efc502e0743a5dceb2535a8891ca463ada8c3a881d9e129e,train_02693.png; train_06276.png,0; 1,270.89; 167.27,2
172872b0219d139a3d934e5d6f78fd16b612d2db30aedc071641996873658ec9,train_04631.png; train_05088.png,0; 1,294.23; 99.68,2
172a0e776ef0511b587101f16b4d4623d39b6a291750a41962699b4be69405b6,train_00530.png; train_00801.png,0; 1,312.77; 321.80,2
178077759f0854d4a040158318cde1b6b6450e45807bc172e965b7a3eadee5ec,train_01378.png; train_05203.png,0; 1,349.00; 153.19,2
17ad6f1e13f7351c6e22981a0c36cfaff2b133e55d9d33a14d567641d0daacf3,train_06619.png; train_07441.png,0; 1,288.51; 17.47,2
17c39aee01616c99480a7afbbe7c755ae87463ff24b1252266d44186d0084664,train_02136.png; train_05684.png,0; 1,288.35; 193.77,2
17e089fc59fa8a951f6529fa8a9ce4738a7499d61ff2395ff2af2013f373964b,train_02012.png; train_06260.png,1; 0,185.11; 355.77,2
181c3e4c4e937e2d9df546c62641f45e26d7d322d83e55cc0ddf24636a9504dc,train_01024.png; train_01890.png,0; 1,306.79; 254.01,2
184ed4ba8ae6ef7d7f0629ff75a559e33f03bc57771d18503459cc0656d32732,train_00881.png; train_03799.png,0; 1,293.77; 167.83,2
1869c624a869b9c5fd5207b4223ed788fef9d63143bff6538f4c70ecd81276dc,train_02883.png; train_07411.png,0; 1,273.43; 325.50,2
18bfe0af5e2408533df4e4278bba8120958b70a63f40ac679dfdc05f0ba53298,train_02232.png; train_05480.png,0; 1,350.33; 166.27,2
18eaebf6bb822e43be6e34130f763530ee2460830259b63be2c22e1e6a956778,train_04126.png; train_06633.png,0; 1,321.59; 335.91,2
1902e64f5ac7491cc65ae611a4faa05a20ae601de169332799d9d2e0da8aafcf,train_03999.png; train_05732.png,1; 0,335.75; 304.21,2
191cee6968da350cba0ef2bf3530abbefd87e86f6947688e7b540bd71c1f3c2b,train_01089.png; train_02182.png,1; 0,295.43; 276.84,2
194bef90bd184e86a1f38cb4a7c3befc53270e87fdd14426c61eff25f9dd88c0,train_04083.png; train_04373.png,1; 0,63.75; 284.96,2
19a9fa339d46bfd05184242ead88fca17d9e33eb2cdd167b0b2597ad61dac6b0,train_00150.png; train_03364.png,0; 1,82.80; 255.28,2
1a2c4e786234a30644e5b22af7e1adf9c8c6a3237a6615e1352ff9bc46f050d4,train_00698.png; train_03785.png,0; 1,338.57; 231.79,2
1a68508675bf8b01c77eba46cafe8debfb1852899453fd9d5d0634e952d475b8,train_00951.png; train_03314.png,0; 1,307.79; 186.59,2
1aa98a356d56e4982f6c0f57ac26b9faa74297faad376544789e163bd62ab500,train_02966.png; train_04190.png,0; 1,210.02; 210.02,2
1aacd5c10062342d7d6e5f58ca64ac3bb7eb5408f2cb89bfbc7b32161346b7ef,train_02050.png; train_03616.png,1; 0,44.31; 313.27,2
1ac017eef09fc7721c7e9e4c0f18c38a7e709418953e29fd1371088e8feef279,train_00013.png; train_02557.png,1; 0,248.34; 302.92,2
1add860359c0bfb064d0d9ce58db70d3c6b6fa8c313c2cf2d2504daa27fdf04d,train_02909.png; train_04239.png,1; 0,32.61; 284.58,2
1b25338dc430e763be14098a8185adf00ba49df1fe46a225ca3aa56099357f72,train_02744.png; train_03632.png,1; 0,99.39; 106.75,2
1b436692a7e46545698ec1a5b35df33e7f52645f94ed45b9ad7d56f587ccda2a,train_04101.png; train_07422.png,1; 0,160.32; 300.40,2
1b59a1487ecb31ff43fd69f0b5c01d09671d9a563a4e5efa4bae244168a4051d,train_00544.png; train_03341.png,0; 1,292.04; 319.80,2
1b5ba198456e0969ebd3e674ec138ff4502b078b3a0755282d629980f923e368,train_01189.png; train_02870.png,1; 0,339.54; 340.11,2
1b97659b952aec32e504e67fc9923ef58fb510f062915d9a85a7e53ec78f9d46,train_02600.png; train_04535.png,1; 0,237.28; 329.99,2
1ba1b128e642dd2b7d5558939a292e2f2768c0385dbd9c488de8f797a03478c3,train_03680.png; train_06525.png,1; 0,346.67; 304.88,2
1ba4177ee4ad5a535fb531f23e10da28bf40b47188b45892c892bf1eed23150e,train_05415.png; train_06392.png,0; 1,79.74; 297.71,2
1baa042fae7b737b5c593ea7c6f98ca82037e6993062e0807d599ac911edbbc0,train_02571.png; train_06970.png,0; 1,344.86; 238.50,2
1badc3daaa324dc3d5fd3f9d740056658b0fb79628fcd6c00042be000bf4afed,train_04440.png; train_07538.png,1; 0,306.90; 267.66,2
1bd04f197109e8cbdecd3e607d03ae53fcb883e4a046bdb7ac3ad1b36587db9b,train_06575.png; train_07752.png,1; 0,178.17; 288.86,2
1be07f152312368b99daa981f2046550c231f2a4033fe627d8cbc8f3a35a9277,train_03925.png; train_04319.png,1; 0,322.72; 277.49,2
1c899cd861effd10a25d4cbe1d8bf33e9b299524f829868219231fa4f5e1d7ae,train_00697.png; train_04559.png,1; 0,165.78; 298.78,2
1c9ae77e010a2a2bdc8630a89d6a96fdd6d739d311ad633696c2c26b217fd185,train_00124.png; train_02742.png,1; 0,215.05; 314.26,2
1cc3f16646b64e797d756da642b10f0dc7747423ec34d8490cd9a15860b3c41b,train_01458.png; train_04057.png,1; 0,36.29; 324.45,2
1cf6532b53d11e8094ba9b064fb696f42b29dc61cd2551b249d46752ab367731,train_04623.png; train_05059.png,0; 1,346.82; 208.42,2
1d0cfd5613c6a416f7584d1732dee8372632ffb574d46d4a2fd12e5aa341a49f,train_00461.png; train_01284.png,1; 0,300.68; 124.21,2
1d1433dd23c605f3c71bfb4a059e74c2370fbc684c8080f14ce99c1cff1f393b,train_00357.png; train_00468.png,1; 0,107.66; 286.81,2
1d16de488f8954ecf7d51297b58504056c0e172ba15b9ce92d336618b4601444,train_04698.png; train_05759.png,0; 1,301.10; 300.51,2
1d281cc1f9a486eb6465649d791e536638210bd504f013cd8f341c85a0b5aaa3,train_00974.png; train_02708.png,1; 0,339.63; 285.98,2
1d7736e818aec4d607252d066bd7f5b63bd34f3a23927873edc59c99b9706398,train_00134.png; train_05484.png,0; 1,271.19; 106.40,2
1d8d7d1db1c368502a2344f64437516d1a58f9b8635b7aab86343b715a6ae98f,train_04484.png; train_07140.png,1; 0,216.64; 348.49,2
1d96f0850ca0735956fe601943738d21d7eab0699c7364794da3e08125125b9f,train_00504.png; train_04908.png,0; 1,293.03; 196.93,2
1db1a27f5dd953bdcda694e02395249b8c3a7a7d2f9e116c16c302a690c14608,train_00505.png; train_05841.png,1; 0,154.47; 278.01,2
1de16cccefb030f976584da33d283d0d280a1032509bcd7f46c36d3f9f7cf533,train_03195.png; train_03234.png,0; 1,358.87; 353.01,2
1e3db2fd24595f60bd4fa458eed0e7b258fd86d352bc9d89ddbfb224fe7819d5,train_01789.png; train_06382.png,1; 0,147.43; 311.78,2
1ea5becc13aca501ce7f0f2ed9f424736edd3ce2491dd2bc526f215c4d75eef8,train_04105.png; train_04692.png,1; 0,260.19; 339.02,2
1eb6e4c0ca6b65a98c81b6136ed18f283bf28ffacb77f3ddcd82ed38d2f5ecd6,train_00039.png; train_03049.png,0; 1,161.59; 206.12,2
1ed15f2655ad75b7129df5006f51363104e7918577c024e8a825cfb14a7b6bce,train_02253.png; train_07506.png,1; 0,319.22; 313.41,2
1f23f5cf8fd81d47bff93dcb85c197b8de308be41709d1ad0a7cacc682025b65,train_02096.png; train_02818.png,1; 0,168.50; 344.73,2
1f45d67a7c3e71d053be6ba95cf4f8afa25fbb3a76835b71ac2fb7b950b05eea,train_01123.png; train_03162.png,0; 1,287.26; 156.94,2
1fbd4ba32ec8d46013c1b01927ec1667c3d2f90fd9f1f08ef384dcf2c4abbd81,train_06184.png; train_06389.png,0; 1,281.52; 206.89,2
1ff6b488e3bb1e9845d74eb930e532367531d70959c953186abf3a9b4a2614b9,train_00445.png; train_01362.png,1; 0,102.64; 338.68,2
1ffce4daa0a332236db536075c01ce6dd4c206bb584e8828a7b58f06a5168f8b,train_01910.png; train_01919.png,1; 0,185.38; 324.70,2
205a20e6e6d275b480d9daf826f3f085603b6a14cf219ec4aef4eef03daaa8da,train_01251.png; train_07405.png,1; 0,150.00; 240.20,2
2083617cc00f998bf8df3b011776bd249002b493d090bc7c73739ae951d6d05f,train_02217.png; train_03859.png,1; 0,116.49; 81.37,2
20b4bd14816536bc830a9ce596eaaca4ce0236fde26204ef458b70c30b4c7be3,train_02027.png; train_05857.png,0; 1,344.03; 294.92,2
20c6b1deafedf4546a3965c91ed3ca3e8623a68fe80382abaff84a782b67aae9,train_01389.png; train_01935.png,0; 1,284.01; 44.00,2
20ef7c41ba2f11c7c598a50fce8876a7ef226847e5a1179dc995c08d5b273a13,train_02426.png; train_07385.png,0; 1,228.63; 177.16,2
212492aa6a3aa165aed29ddc3d8a0f83f0bc5d6f56535a5394c8c3c728d34f17,train_01379.png; train_04523.png,0; 1,289.10; 76.84,2
21506a83d2a9d4cec058dbe4ac59987d3a9282285040646f90aeb3501a255c22,train_05472.png; train_07726.png,1; 0,306.34; 336.19,2
216f3a907646ed6e0eab8838923a007f209c41bdb9e67ae817507d2b31d98ea9,train_03370.png; train_06566.png,0; 1,61.86; 66.68,2
217a9a1fc50725262ad36abd3d932f2fe004d5bb5b7a74af60821b295090fd98,train_02963.png; train_07143.png,1; 0,256.14; 285.85,2
218ed46cccbcb45d176f90a47b1803c58598650de9b2343863ca86a44b09075c,train_01413.png; train_06558.png,1; 0,183.74; 278.02,2
21d2b581a534a7b16bbea597e02b720b1c7d8ef60557e01d4140e2a0d4c51f22,train_01589.png; train_05314.png,0; 1,308.53; 284.37,2
21d2db616e7c205236ecc05a0be21820b618072c81c6b90d6a99e4bfbe5b503d,train_04132.png; train_06032.png,1; 0,338.20; 357.94,2
21e9a6182583ad32717184df923c7b63c34e4009304807a7181ab040fa774652,train_00883.png; train_06116.png,1; 0,10.95; 356.22,2
21ed3331f4a8909b820bec5a7cc46f51278d2dee9c3aa446f13c1e12b5b5e623,train_01463.png; train_04330.png,0; 1,272.54; 213.36,2
222670c98ae39793360940e2f82ec8738b1d497b35b6f1eeca6c22a4a303eb87,train_00361.png; train_03790.png,1; 0,234.06; 18.31,2
